study,insulation_m,n_cells,dt_s,final_pressure_Pa,final_temperature_K,final_quality,final_vapor_mass_kg,final_liquid_mass_kg
mesh,0.02,24,1.0,123230.63204896932,20.950178657343752,0.021976606616184835,0.03964949360833499,1.7645186521296348
mesh,0.02,48,1.0,122619.12669584916,20.932477689548257,0.021881929165799462,0.039478679568230014,1.7646894661697397
mesh,0.02,96,1.0,121587.98851505076,20.90242894793827,0.021722153940815957,0.039190418196836656,1.764977727541133
time,0.02,48,1.0,122619.12669584916,20.932477689548257,0.021881929165799462,0.039478679568230014,1.7646894661697397
time,0.02,48,2.0,122672.07447471788,20.934010344861605,0.021890128679377386,0.03949347286943785,1.7646746728685319
time,0.02,48,5.0,122830.4300226834,20.938594191005343,0.021914649672659096,0.03953771286441857,1.7646304328735511
insulation,0.01,48,1.0,174336.13578774023,22.250416168940138,0.0297360664542727,0.05364886387634622,1.7505192818616233
insulation,0.02,48,1.0,122619.12669584916,20.932477689548257,0.021881929165799462,0.039478679568230014,1.7646894661697397
insulation,0.03,48,1.0,107332.55877353364,20.46714223462892,0.019496738441767476,0.03517539444242182,1.768992751295548
