time,mass_imbalance,mass_abs_local,cumulative_mass_imbalance,energy_imbalance
0.0038,-1.189430339e-20,5.53394709e-20,-8.034652933e-20,0.0
0.0038,-6.415412483e-21,3.929651039e-20,-8.676194181e-20,0.0
0.004,8.623350341e-21,4.006031656e-20,-7.813859147e-20,0.0
0.004,4.200979921e-21,2.400189672e-20,-7.393761155e-20,0.0
0.004,-1.196348373e-20,5.564527533e-20,-8.590109528e-20,0.0
0.004,-6.429514492e-21,3.963089911e-20,-9.233060977e-20,0.0
0.0042,8.671801857e-21,4.025774255e-20,-8.365880792e-20,0.0
0.0042,4.213250602e-21,2.409007488e-20,-7.944555732e-20,0.0
0.0042,-1.204556922e-20,5.601318282e-20,-9.149112654e-20,0.0
0.0042,-6.448625231e-21,3.99772264e-20,-9.793975177e-20,0.0
0.0044,8.58422059e-21,3.980970095e-20,-8.935553118e-20,0.0
0.0044,4.172813908e-21,2.410074576e-20,-8.518271727e-20,0.0
0.0044,-1.20698623e-20,5.611840933e-20,-9.725257957e-20,0.0
0.0044,-6.448946511e-21,4.028294512e-20,-1.037015261e-19,0.0
0.0046,8.670661052e-21,4.027982952e-20,-9.503086503e-20,0.0
0.0046,4.200693264e-21,2.446208754e-20,-9.083017177e-20,0.0
0.0046,-1.213724183e-20,5.643215285e-20,-1.029674136e-19,0.0
0.0046,-6.468826307e-21,4.067250862e-20,-1.094362399e-19,0.0
0.0048,8.841165057e-21,4.105118342e-20,-1.005950749e-19,0.0
0.0048,4.263525027e-21,2.476513046e-20,-9.633154982e-20,0.0
0.0048,-1.227367627e-20,5.706475507e-20,-1.086052261e-19,0.0
0.0048,-6.516261401e-21,4.112836977e-20,-1.151214875e-19,0.0
0.005,8.866127588e-21,4.122779612e-20,-1.062553599e-19,0.0
0.005,4.258433595e-21,2.494071711e-20,-1.019969263e-19,0.0
0.005,-1.240007529e-20,5.76514179e-20,-1.143970016e-19,0.0
0.005,-6.558487441e-21,4.155355858e-20,-1.20955489e-19,0.0
0.0052,8.952809477e-21,4.167542913e-20,-1.120026796e-19,0.0
0.0052,4.279912851e-21,2.520745378e-20,-1.077227667e-19,0.0
0.0052,-1.25315218e-20,5.827092101e-20,-1.202542885e-19,0.0
0.0052,-6.602254164e-21,4.198714496e-20,-1.268565427e-19,0.0
0.0054,9.107181585e-21,4.241361148e-20,-1.177493611e-19,0.0
0.0054,4.328322319e-21,2.552541321e-20,-1.134210388e-19,0.0
0.0054,-1.26938386e-20,5.904005416e-20,-1.261148774e-19,0.0
0.0054,-6.658155457e-21,4.246108345e-20,-1.327730328e-19,0.0
0.0056,9.242403769e-21,4.307640635e-20,-1.235306291e-19,0.0
0.0056,4.364659226e-21,2.583781275e-20,-1.191659698e-19,0.0
0.0056,-1.286483858e-20,5.985388938e-20,-1.320308084e-19,0.0
0.0056,-6.71721114e-21,4.294463176e-20,-1.387480196e-19,0.0
0.0058,9.438903733e-21,4.403004353e-20,-1.293091158e-19,0.0
0.0058,4.425980757e-21,2.623525925e-20,-1.248831351e-19,0.0
0.0058,-1.306771062e-20,6.081592908e-20,-1.379508457e-19,0.0
0.0058,-6.792166037e-21,4.346839727e-20,-1.447430117e-19,0.0
0.006,9.6012274e-21,4.478527311e-20,-1.351417843e-19,0.0
0.006,4.482511904e-21,2.65508876e-20,-1.306592724e-19,0.0
0.006,-1.328293769e-20,6.183351799e-20,-1.439422101e-19,0.0
0.006,-6.875733898e-21,4.399966512e-20,-1.50817944e-19,0.0
0.0062,9.75188079e-21,4.546405447e-20,-1.410660632e-19,0.0
0.0062,4.53837373e-21,2.682877329e-20,-1.365276895e-19,0.0
0.0062,-1.350113826e-20,6.286343127e-20,-1.500288277e-19,0.0
0.0062,-6.962469179e-21,4.452329625e-20,-1.569912969e-19,0.0
0.0064,9.907897378e-21,4.618447361e-20,-1.470833995e-19,0.0
0.0064,4.592001991e-21,2.711815278e-20,-1.424913976e-19,0.0
0.0064,-1.372046296e-20,6.389932932e-20,-1.562118605e-19,0.0
0.0064,-7.049819394e-21,4.503729081e-20,-1.632616799e-19,0.0
0.0066,1.005828763e-20,4.68947961e-20,-1.532033923e-19,0.0
0.0066,4.642340962e-21,2.740384889e-20,-1.485610513e-19,0.0
0.0066,-1.393938308e-20,6.493601268e-20,-1.625004344e-19,0.0
0.0066,-7.137173789e-21,4.554074457e-20,-1.696376082e-19,0.0
0.0068,1.020416932e-20,4.758789364e-20,-1.594334389e-19,0.0
0.0068,4.693212519e-21,2.767861106e-20,-1.547402263e-19,0.0
0.0068,-1.41581144e-20,6.597354135e-20,-1.688983407e-19,0.0
0.0068,-7.2242595e-21,4.603516134e-20,-1.761226002e-19,0.0
0.007,1.033231674e-20,4.818134224e-20,-1.657902835e-19,0.0
0.007,4.739551427e-21,2.791549676e-20,-1.610507321e-19,0.0
0.007,-1.437230799e-20,6.699373995e-20,-1.754230401e-19,0.0
0.007,-7.307566915e-21,4.651517292e-20,-1.82730607e-19,0.0
0.0072,1.04522016e-20,4.87479817e-20,-1.722784054e-19,0.0
0.0072,1.042344001e-20,1.581177659e-19,-1.618549654e-19,0.0
0.0072,-1.457871057e-20,6.798388002e-20,-1.764336759e-19,0.0
0.0072,-7.383071895e-21,4.697740184e-20,-1.838167478e-19,0.0
0.0074,1.059004628e-20,4.940048534e-20,-1.732267016e-19,0.0
0.0074,1.056094457e-20,1.589771609e-19,-1.62665757e-19,0.0
0.0074,-1.47911026e-20,6.900767319e-20,-1.774568596e-19,0.0
0.0074,-7.457459467e-21,4.744440042e-20,-1.849143191e-19,0.0
0.0076,1.07384863e-20,5.008708829e-20,-1.741758328e-19,0.0
0.0076,1.070888233e-20,1.597942248e-19,-1.634669504e-19,0.0
0.0076,-1.500899917e-20,7.006138728e-20,-1.784759496e-19,0.0
0.0076,-7.528921166e-21,4.791543448e-20,-1.860048708e-19,0.0
0.0078,1.091422517e-20,5.102899587e-20,-1.750906456e-19,0.0
0.0078,1.08840813e-20,1.607572354e-19,-1.642065643e-19,0.0
0.0078,-1.524191914e-20,7.119211803e-20,-1.794484834e-19,0.0
0.0078,-7.602756728e-21,4.840620199e-20,-1.870512402e-19,0.0
0.008,1.111728717e-20,5.202870247e-20,-1.75933953e-19,0.0
0.008,1.108632635e-20,1.618137944e-19,-1.648476267e-19,0.0
0.008,-1.548671248e-20,7.238307336e-20,-1.803343391e-19,0.0
0.008,-7.679203035e-21,4.89156611e-20,-1.880135422e-19,0.0
