time,field,initial_residual,final_residual
0.002,Ux,0.0131876411,2.919632927e-15
0.002,Uy,0.3166124389,1.553449672e-13
0.002,p,0.1501301872,6.080713204e-09
0.002,p,7.162856968e-09,7.162856968e-09
0.002,p,3.280743884e-08,4.828934879e-09
0.002,p,4.828934977e-09,4.828934977e-09
0.0022,Ux,0.02703599302,2.757150167e-15
0.0022,Uy,0.03256018665,5.618154784e-15
0.0022,p,0.1795863467,5.984372888e-09
0.0022,p,5.068909919e-09,5.068909919e-09
0.0022,p,1.826098515e-08,2.942985691e-09
0.0022,p,2.94298564e-09,2.94298564e-09
0.0022,Ux,0.01214964797,2.706116793e-15
0.0022,Uy,0.314524053,1.511404013e-13
0.0022,p,0.1514798327,5.730033507e-09
0.0022,p,6.76030431e-09,6.76030431e-09
0.0022,p,3.137000041e-08,4.590834868e-09
0.0022,p,4.590834954e-09,4.590834954e-09
0.0024,Ux,0.02483448982,2.499687558e-15
0.0024,Uy,0.02930770596,4.592781295e-15
0.0024,p,0.1779671984,5.651366215e-09
0.0024,p,4.795992039e-09,4.795992039e-09
0.0024,p,1.726243021e-08,2.795431497e-09
0.0024,p,2.795431452e-09,2.795431452e-09
0.0024,Ux,0.0112193672,2.524895695e-15
0.0024,Uy,0.3137471488,1.478472552e-13
0.0024,p,0.1528518042,5.440513583e-09
0.0024,p,6.427217357e-09,6.427217357e-09
0.0024,p,3.006947891e-08,4.387127117e-09
0.0024,p,4.387127194e-09,4.387127194e-09
0.0026,Ux,0.02295159678,2.258098482e-15
0.0026,Uy,0.02706511395,4.052791748e-15
0.0026,p,0.1769384169,5.398810858e-09
0.0026,p,4.58830057e-09,4.58830057e-09
0.0026,p,1.657902735e-08,2.68032875e-09
0.0026,p,2.680328709e-09,2.680328709e-09
0.0026,Ux,0.01041387099,2.385534102e-15
0.0026,Uy,0.3123429301,1.445346414e-13
0.0026,p,0.1542588046,5.184039665e-09
0.0026,p,6.132091282e-09,6.132091282e-09
0.0026,p,2.897181078e-08,4.207580971e-09
0.0026,p,4.207581039e-09,4.207581039e-09
0.0028,Ux,0.0213669121,2.080662161e-15
0.0028,Uy,0.02536685163,3.536598483e-15
0.0028,p,0.1761320381,5.137410868e-09
0.0028,p,4.366868397e-09,4.366868397e-09
0.0028,p,1.586282294e-08,2.560763831e-09
0.0028,p,2.560763795e-09,2.560763795e-09
0.0028,Ux,0.009685558765,2.212662391e-15
0.0028,Uy,0.3105412201,1.415196475e-13
0.0028,p,0.1554048458,4.931124657e-09
0.0028,p,5.844120006e-09,5.844120006e-09
0.0028,p,2.794654272e-08,4.039292794e-09
0.0028,p,4.039292854e-09,4.039292854e-09
0.003,Ux,0.01999746956,1.912199663e-15
0.003,Uy,0.02335725552,3.213415909e-15
0.003,p,0.1754225117,4.847018238e-09
0.003,p,4.120859626e-09,4.120859626e-09
0.003,p,1.519104657e-08,2.438835425e-09
0.003,p,2.438835393e-09,2.438835393e-09
0.003,Ux,0.009053746747,2.076459888e-15
0.003,Uy,0.308179148,1.384279208e-13
0.003,p,0.156303116,4.709304081e-09
0.003,p,5.582806279e-09,5.582806279e-09
0.003,p,2.694989177e-08,3.883299619e-09
0.003,p,3.883299677e-09,3.883299677e-09
0.0032,Ux,0.01878239307,1.776452112e-15
0.0032,Uy,0.02227123485,2.939021555e-15
0.0032,p,0.1749433667,4.590824906e-09
0.0032,p,3.904442047e-09,3.904442047e-09
0.0032,p,1.462602385e-08,2.346822982e-09
0.0032,p,2.346822953e-09,2.346822953e-09
0.0032,Ux,0.008479196556,1.950578769e-15
0.0032,Uy,0.3052550754,1.352332666e-13
0.0032,p,0.1567634067,4.488954204e-09
0.0032,p,5.317954052e-09,5.317954052e-09
0.0032,p,2.594866924e-08,3.733502836e-09
0.0032,p,3.733502888e-09,3.733502888e-09
0.0034,Ux,0.01768230342,1.646913158e-15
0.0034,Uy,0.02110643786,2.705702728e-15
0.0034,p,0.1739016565,4.520055687e-09
0.0034,p,3.847892264e-09,3.847892264e-09
0.0034,p,1.411819365e-08,2.28973942e-09
0.0034,p,2.289739391e-09,2.289739391e-09
0.0034,Ux,0.008031591595,1.83633588e-15
0.0034,Uy,0.3020846314,1.324426327e-13
0.0034,p,0.1569981366,4.334762791e-09
0.0034,p,5.138810969e-09,5.138810969e-09
0.0034,p,2.508167122e-08,3.619155477e-09
0.0034,p,3.619155525e-09,3.619155525e-09
0.0036,Ux,0.016722673,1.544445558e-15
0.0036,Uy,0.02018305032,2.55626324e-15
0.0036,p,0.1734491305,4.305009604e-09
0.0036,p,3.665571857e-09,3.665571857e-09
0.0036,p,1.362216417e-08,2.207323049e-09
0.0036,p,2.207323023e-09,2.207323023e-09
0.0036,Ux,0.007600855014,1.708860477e-15
0.0036,Uy,0.2995695398,1.297653718e-13
0.0036,p,0.1570655645,4.175142258e-09
0.0036,p,4.952177762e-09,4.952177762e-09
0.0036,p,2.425057269e-08,3.511130365e-09
0.0036,p,3.511130408e-09,3.511130408e-09
0.0038,Ux,0.01588662605,1.451286613e-15
0.0038,Uy,0.01910207192,2.356609274e-15
0.0038,p,0.1726773039,4.279739143e-09
0.0038,p,3.646747346e-09,3.646747346e-09
0.0038,p,1.325692121e-08,2.173471808e-09
0.0038,p,2.173471782e-09,2.173471782e-09
0.0038,Ux,0.00723879282,1.643642133e-15
0.0038,Uy,0.2966588222,1.273793618e-13
0.0038,p,0.157133703,4.068665502e-09
0.0038,p,4.828499132e-09,4.828499132e-09
0.0038,p,2.352728483e-08,3.428713055e-09
0.0038,p,3.428713097e-09,3.428713097e-09
0.004,Ux,0.01515322689,1.356048303e-15
0.004,Uy,0.01840217937,2.232914146e-15
0.004,p,0.172175374,4.13535844e-09
0.004,p,3.525324119e-09,3.525324119e-09
0.004,p,1.281194233e-08,2.112176669e-09
0.004,p,2.112176645e-09,2.112176645e-09
0.004,Ux,0.006896300227,1.556685615e-15
0.004,Uy,0.294365184,1.25464753e-13
0.004,p,0.1571502734,3.964409574e-09
0.004,p,4.706839285e-09,4.706839285e-09
0.004,p,2.285630858e-08,3.352239189e-09
0.004,p,3.352239229e-09,3.352239229e-09
0.0042,Ux,0.01447268286,1.268988482e-15
0.0042,Uy,0.01831483529,2.371753342e-15
0.0042,p,0.1716817552,4.032170418e-09
0.0042,p,3.439813149e-09,3.439813149e-09
0.0042,p,1.244454861e-08,2.058370664e-09
0.0042,p,2.058370641e-09,2.058370641e-09
0.0042,Ux,0.006595786724,1.471769615e-15
0.0042,Uy,0.2917107571,1.232537841e-13
0.0042,p,0.1576160499,3.876012924e-09
0.0042,p,4.603991318e-09,4.603991318e-09
0.0042,p,2.229166067e-08,3.285919382e-09
0.0042,p,3.28591942e-09,3.28591942e-09
0.0044,Ux,0.01387225822,1.211167902e-15
0.0044,Uy,0.01744314924,2.076525436e-15
0.0044,p,0.1714553304,3.877128973e-09
0.0044,p,3.308603792e-09,3.308603792e-09
0.0044,p,1.212299155e-08,2.003024825e-09
0.0044,p,2.003024804e-09,2.003024804e-09
0.0044,Ux,0.006301590881,1.401472943e-15
0.0044,Uy,0.2894200063,1.211295656e-13
0.0044,p,0.1581627501,3.778262678e-09
0.0044,p,4.489874665e-09,4.489874665e-09
0.0044,p,2.179053318e-08,3.222924112e-09
0.0044,p,3.222924149e-09,3.222924149e-09
0.0046,Ux,0.01329561521,1.150436534e-15
0.0046,Uy,0.01601630571,1.954951656e-15
0.0046,p,0.1710300657,3.821161025e-09
0.0046,p,3.262160352e-09,3.262160352e-09
0.0046,p,1.193933056e-08,1.981121904e-09
0.0046,p,1.981121883e-09,1.981121883e-09
0.0046,Ux,0.006038337085,1.348551147e-15
0.0046,Uy,0.2866992665,1.192057112e-13
0.0046,p,0.1587584163,3.703961144e-09
0.0046,p,4.404479602e-09,4.404479602e-09
0.0046,p,2.137493123e-08,3.174453295e-09
0.0046,p,3.17445333e-09,3.17445333e-09
0.0048,Ux,0.01275561672,1.097939857e-15
0.0048,Uy,0.01524772714,1.802769608e-15
0.0048,p,0.1708772254,3.798617087e-09
0.0048,p,3.24299001e-09,3.24299001e-09
0.0048,p,1.170300594e-08,1.956413048e-09
0.0048,p,1.956413027e-09,1.956413027e-09
0.0048,Ux,0.005794831019,1.295813173e-15
0.0048,Uy,0.2838023063,1.174553221e-13
0.0048,p,0.1593262149,3.65605175e-09
0.0048,p,4.351756236e-09,4.351756236e-09
0.0048,p,2.099527408e-08,3.136448045e-09
0.0048,p,3.136448079e-09,3.136448079e-09
0.005,Ux,0.01225839675,1.04100311e-15
0.005,Uy,0.01481272885,1.747462925e-15
0.005,p,0.1709084123,3.726396465e-09
0.005,p,3.180495894e-09,3.180495894e-09
0.005,p,1.145327948e-08,1.924038053e-09
0.005,p,1.924038033e-09,1.924038033e-09
0.005,Ux,0.005614445898,1.26708625e-15
0.005,Uy,0.2811829749,1.158622262e-13
0.005,p,0.1598003582,3.608320807e-09
0.005,p,4.297409376e-09,4.297409376e-09
0.005,p,2.061037779e-08,3.097454626e-09
0.005,p,3.09745466e-09,3.09745466e-09
0.0052,Ux,0.01180158943,9.935870012e-16
0.0052,Uy,0.01427776091,1.666043429e-15
0.0052,p,0.1708614362,3.682216151e-09
0.0052,p,3.142648946e-09,3.142648946e-09
0.0052,p,1.124857002e-08,1.900836527e-09
0.0052,p,1.900836507e-09,1.900836507e-09
0.0052,Ux,0.005465194901,1.23987807e-15
0.0052,Uy,0.2781651082,1.141411492e-13
0.0052,p,0.1602183087,3.566171798e-09
0.0052,p,4.249434847e-09,4.249434847e-09
0.0052,p,2.024581204e-08,3.06193267e-09
0.0052,p,3.061932704e-09,3.061932704e-09
0.0054,Ux,0.01137298514,9.633003765e-16
0.0054,Uy,0.01389919069,1.577000352e-15
0.0054,p,0.170849991,3.666585465e-09
0.0054,p,3.129479594e-09,3.129479594e-09
0.0054,p,1.106868217e-08,1.883387363e-09
0.0054,p,1.883387344e-09,1.883387344e-09
0.0054,Ux,0.005330851243,1.187101364e-15
0.0054,Uy,0.2753536019,1.125454502e-13
0.0054,p,0.1606080517,3.536491487e-09
0.0054,p,4.215971742e-09,4.215971742e-09
0.0054,p,1.991487987e-08,3.032089484e-09
0.0054,p,3.032089517e-09,3.032089517e-09
0.0056,Ux,0.01097211514,9.022479735e-16
0.0056,Uy,0.01333905793,1.525075006e-15
0.0056,p,0.1708140602,3.646823543e-09
0.0056,p,3.112558237e-09,3.112558237e-09
0.0056,p,1.091212887e-08,1.86695465e-09
0.0056,p,1.86695463e-09,1.86695463e-09
0.0056,Ux,0.005209156569,1.147461141e-15
0.0056,Uy,0.2725921734,1.110347286e-13
0.0056,p,0.1609461695,3.511820104e-09
0.0056,p,4.18817967e-09,4.18817967e-09
0.0056,p,1.960442775e-08,3.004981534e-09
0.0056,p,3.004981566e-09,3.004981566e-09
0.0058,Ux,0.01061088557,8.899568125e-16
0.0058,Uy,0.01292317378,1.457511694e-15
0.0058,p,0.1707561632,3.653244384e-09
0.0058,p,3.118366267e-09,3.118366267e-09
0.0058,p,1.07810504e-08,1.858075544e-09
0.0058,p,1.858075524e-09,1.858075524e-09
